Year,Region,Proportion of Indian Tonnage-Upto 5 Yrs.,Proportion of Indian Tonnage-6-15 Yrs.,Proportion of Indian Tonnage-16-20 Yrs.,Proportion of Indian Tonnage-Over 20 Yrs.,Total Tonnage Proportion,% Tonnage Upto 5 Yrs,% Tonnage 6-15 Yrs,% Tonnage 16-20 Yrs,% Tonnage Over 20 Yrs
1975,Coastal,38.3,33.4,14.8,13.5,99.99999999999999,38.3,33.4,14.800000000000002,13.5
1975,Overseas,44.0,40.6,12.3,3.1,99.99999999999999,44.00000000000001,40.60000000000001,12.300000000000002,3.1000000000000005
1975,Coastal + Overseas,43.5,40.0,12.5,4.0,100.0,43.5,40.0,12.5,4.0
1976,Coastal,39.4,31.2,14.7,14.7,100.0,39.4,31.2,14.7,14.7
1976,Overseas,47.6,38.4,10.2,3.8,100.0,47.6,38.4,10.2,3.8
1976,Coastal + Overseas,46.9,37.8,10.6,4.7,99.99999999999999,46.900000000000006,37.8,10.600000000000001,4.700000000000001
1977,Coastal,40.7,31.5,13.1,14.7,100.0,40.7,31.5,13.100000000000001,14.7
1977,Overseas,45.2,42.3,7.7,4.8,100.0,45.2,42.3,7.7,4.8
1977,Coastal + Overseas,44.8,41.4,8.2,5.6,99.99999999999999,44.800000000000004,41.400000000000006,8.200000000000001,5.6000000000000005
1978,Coastal,32.6,40.9,12.0,14.5,100.0,32.6,40.9,12.0,14.499999999999998
1978,Overseas,42.8,42.1,9.1,6.0,100.0,42.8,42.1,9.1,6.0
1978,Coastal + Overseas,42.1,42.0,9.3,6.6,99.99999999999999,42.10000000000001,42.00000000000001,9.300000000000002,6.6000000000000005
1979,Coastal,18.4,46.5,10.9,24.2,100.00000000000001,18.4,46.49999999999999,10.899999999999999,24.199999999999996
1979,Overseas,35.0,49.4,8.8,6.8,100.0,35.0,49.4,8.8,6.800000000000001
1979,Coastal + Overseas,34.3,49.3,8.8,7.6,99.99999999999999,34.300000000000004,49.300000000000004,8.800000000000002,7.600000000000001
1980,Coastal,2.0,54.7,17.7,25.6,100.0,2.0,54.7,17.7,25.6
1980,Overseas,25.0,58.3,10.1,6.6,99.99999999999999,25.000000000000007,58.300000000000004,10.100000000000001,6.6000000000000005
1980,Coastal + Overseas,23.9,58.2,10.4,7.5,100.0,23.9,58.20000000000001,10.4,7.5
1981,Coastal,18.3,36.0,29.3,16.4,100.0,18.3,36.0,29.299999999999997,16.4
1981,Overseas,16.3,62.3,14.6,6.8,99.99999999999999,16.300000000000004,62.30000000000001,14.600000000000001,6.800000000000001
1981,Coastal + Overseas,16.4,60.9,15.4,7.3,100.0,16.4,60.9,15.4,7.3
1982,Coastal,24.2,37.9,27.2,10.7,100.0,24.2,37.9,27.200000000000003,10.7
1982,Overseas,15.5,60.7,17.7,6.1,100.0,15.5,60.699999999999996,17.7,6.1
1982,Coastal + Overseas,15.9,59.5,18.3,6.3,100.0,15.9,59.5,18.3,6.3
1983,Coastal,26.1,38.0,23.1,12.8,99.99999999999999,26.100000000000005,38.00000000000001,23.100000000000005,12.800000000000002
1983,Overseas,12.1,62.8,16.7,8.4,100.0,12.1,62.8,16.7,8.4
1983,Coastal + Overseas,12.9,61.4,17.0,8.7,100.0,12.9,61.4,17.0,8.7
1984,Coastal,32.7,35.5,18.6,13.2,100.00000000000001,32.699999999999996,35.49999999999999,18.6,13.199999999999998
1984,Overseas,16.6,57.5,16.9,9.0,100.0,16.6,57.49999999999999,16.9,9.0
1984,Coastal + Overseas,17.6,56.2,17.0,9.2,100.00000000000001,17.599999999999998,56.199999999999996,17.0,9.2
1985,Coastal,45.9,38.2,7.8,8.1,99.99999999999999,45.900000000000006,38.2,7.800000000000002,8.1
1985,Overseas,24.1,61.1,10.7,4.1,100.0,24.1,61.1,10.7,4.1
